Status,Status (Successful),Qty,Amount,ship-city,ship-state,ship-postal-code
Delivered,True,1,449.0,PUDUKKOTTAI,TAMIL NADU,613402.0
Delivered,True,1,599.0,KOLKATA,WEST BENGAL,700085.0
Delivered,True,1,0.0,CHANDIGAR,CHANDIGARH,160022.0
Delivered,True,1,699.0,LACHHMANGARH,RAJASTHAN,332311.0
Delivered,True,1,696.0,PATNA,BIHAR,801503.0
Delivered,True,1,599.0,HYDERABAD,HYDERABAD,500072.0
Delivered,True,1,458.0,SAMBALPUR,ODISHA,768106.0
Delivered,True,1,399.0,SAMBALPUR,ODISHA,768106.0
Delivered,True,1,487.0,BENGALURU,KARNATAKA,560045.0
Delivered,True,1,771.0,HYDERABAD,HYDERABAD,502032.0
Delivered,True,1,684.0,VADODARA,GUJARAT,390008.0
Delivered,True,1,725.0,CHENNAI,TAMIL NADU,600016.0
Delivered,True,1,280.0,MADURAI,TAMIL NADU,625014.0
Delivered,True,1,807.0,MUMBAI,MAHARASHTRA,400012.0
Delivered,True,1,599.0,DONGARGARH,CHHATTISGARH,491445.0
Delivered,True,1,835.0,DHANBAD,JHARKHAND,826001.0
Delivered,True,1,533.0,HYDERABAD,HYDERABAD,500090.0
Delivered,True,1,459.0,HYDERABAD,HYDERABAD,500070.0
Delivered,True,1,283.0,HYDERABAD,HYDERABAD,500070.0
Delivered,True,1,518.0,VADODARA,GUJARAT,391410.0
Delivered,True,1,526.0,PUNE,MAHARASHTRA,411036.0
Delivered,True,1,353.0,BIDAR,KARNATAKA,585401.0
Delivered,True,1,574.0,KRISHNAPURAM,KERALA,690533.0
Delivered,True,1,729.0,BIKANER,RAJASTHAN,334001.0
Delivered,True,1,579.0,SOUTH GOA,GOA,403601.0
Delivered,True,1,0.0,BANGALORE,KARNATAKA,560103.0
Delivered,True,1,562.0,BENGALURU,KARNATAKA,560030.0
Delivered,True,1,446.0,KARNAL,HARYANA,132001.0
Delivered,True,1,399.0,RISOD,MAHARASHTRA,444506.0
Delivered,True,1,0.0,PATNA,BIHAR,801503.0
